[26.7,15.9,28.9,31.9,45.1,-26235818,-48649893,01:52:52,03/09/13]
[26.5,16.0,29.0,30.5,41.7,-26235836,-48649902,01:52:52,03/09/13]
[26.6,15.8,28.8,30.6,38.3,-26235852,-48649909,01:52:52,03/09/13]
[26.8,16.2,29.0,30.5,39.2,-26235869,-48649917,01:52:52,03/09/13]
[28.1,15.6,28.7,30.6,44.1,-26235887,-48649927,01:52:52,03/09/13]
[26.6,15.8,28.7,30.6,46.0,-26235907,-48649936,01:52:52,03/09/13]
[26.8,16.1,29.0,31.6,44.0,-26235925,-48649947,01:52:52,03/09/13]
[26.2,15.9,28.8,31.3,44.0,-26235942,-48649958,01:52:52,03/09/13]
[26.2,15.4,30.5,30.7,40.0,-26235973,-48649979,01:52:52,03/09/13]
[26.7,16.0,28.9,30.7,41.6,-26235990,-48649989,01:52:52,03/09/13]
[26.9,16.1,29.3,31.4,40.3,-26236007,-48649997,01:52:52,03/09/13]
[26.3,15.9,28.8,30.8,37.7,-26236024,-48650002,01:52:52,03/09/13]
[26.7,15.9,29.2,30.8,37.2,-26236041,-48650007,01:52:52,03/09/13]
[26.3,15.9,29.3,30.8,39.5,-26236058,-48650014,01:52:52,03/09/13]
[26.3,15.5,29.1,31.0,41.6,-26236076,-48650021,01:52:52,03/09/13]
[26.8,16.1,29.4,31.4,41.5,-26236094,-48650027,01:52:52,03/09/13]
[26.3,15.8,29.3,31.6,38.9,-26236112,-48650033,01:52:52,03/09/13]
[26.4,15.7,29.1,34.4,37.9,-26236129,-48650038,01:52:52,03/09/13]
[26.4,15.7,29.1,30.9,37.9,-26236146,-48650042,01:52:52,03/09/13]
[26.6,16.1,29.4,31.0,43.4,-26236184,-48650054,01:52:52,03/09/13]
[26.3,15.9,29.3,32.8,40.9,-26236202,-48650061,01:52:52,03/09/13]
[26.7,16.0,29.5,33.3,38.7,-26236219,-48650068,01:52:52,03/09/13]
[26.7,16.2,29.5,32.4,39.0,-26236236,-48650076,01:52:52,03/09/13]
[27.3,15.5,29.1,31.6,41.8,-26236254,-48650084,01:52:52,03/09/13]
[26.4,15.7,29.2,31.7,42.8,-26236272,-48650092,01:52:52,03/09/13]
[26.7,16.3,29.6,31.6,40.6,-26236290,-48650099,01:52:52,03/09/13]
[26.4,17.0,28.9,32.4,38.5,-26236307,-48650107,01:52:52,03/09/13]
[26.6,15.9,29.2,31.1,40.2,-26236324,-48650115,01:52:52,03/09/13]
[26.7,16.1,29.0,32.6,42.1,-26236342,-48650123,01:52:52,03/09/13]
[26.2,15.8,29.0,31.3,42.1,-26236361,-48650130,01:52:52,03/09/13]
